Завершил,Начал,Носитель,Формат,Тематика,Название,Автор,Оригинал,Оценка,Длина,Год,Рецензия,Ссылка,Язык,Теги
"??.??.2012
20.06.2013","??.??.2012
16.06.2013",Цифр. книга,Книга,Копирайтинг,Гипнотические рекламные тексты. Как искушать и убеждать клиентов одними словами,Джо Витале,Hypnotic Writing: How to Seduce and Persuade Customers with Only Your Words,5,272 стр.,2006,"Автор учит писать гипнотические рекламные тексты, с помощью которых можно убеждать других людей повлияв на их сознание.
Сама книга написана в гипнотическом стиле, куча примеров которые рассматриваются практически, описано много различных приёмов, подходов, советов. Также автор рекомендует книги, некоторые из которых очень редкие.
В общем – пособие по написанию рекламных текстов с интересными примерами, ходами автора и все это подано в доступной для понимания форме. 
Стоит прочесть",,Русский,"Реклама, Маркетинг, Убеждение, Гипноз"
16.06.2013,26.04.2013,Видео,Курс,Веб-разработка,Module Development for Drupal 7,http://drupalize.me/,,5,371 мин.,2011,Шикарный курс по введению в разработку модулей. После него советую подробно изучить модули examples,http://drupalize.me/series/module-development-drupal-7,Английский,"Веб-разработка, Программирование, PHP, Drupal"
14.06.2013,09.04.2013,Видео,Курс,Веб-разработка,JavaScript. Уровень 2. Расширенные возможности,Специалист,,5,1440 мин.,?,Очень подробно всё расказывают с примерами из личного опыта.,,Русский,"Программирование, Веб-разработка, JavaScript"
08.06.2013,08.06.2013,Цифр. книга,Книга,Веб-разработка,PHP в примерах,Стивен Хольцнер,,3,350 стр.,2007,Слишком короткая для справочника и устаревшая.,,Русский,"Программирование, Веб-разработка, MySQL, PHP"
"??.??.2012
09.06.2013","??.??.2012
09.06.2013",Цифр. книга,Книга,Маркетинг,Buyology: Увлекательное путешествие в мозг современного потребителя,Мартин Линдстром,Buyology: Truth and Lies about Why We Buy,4,240 стр.,2008,"Книга ценная тем, что основывается на практической информации. Много интересных выводов и не только по маркетингу",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDbEdYTUpQeW9uc0k,Русский,"Реклама, Бизнес,Психология, Торговля, Брендинг"
08.06.2013,26.04.2013,Цифр. книга,Книга,Веб-разработка,Изучаем PHP и MySQL,"Мишель Е. Дэвис, Джон А. Филлипс",Learning PHP and MySQL,4,448 стр.,2006,"Более-менее понятное объяснение для начинающих + полезные темы безопасности. Но всёравно на полноценный учебник не тянет, а на справочник и по давну.",,Русский,"Программирование, Веб-разработка, MySQL, PHP"
01.06.2013,20.05.2013,Цифр. книга,Книга,Презентация,"К выступлению
готов!
Презентационный конструктор",Радислав Гандапас,,5,208 стр.,2011,"Хорошая книга, читать целиком.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDZmlCTU9QS2dMM0U,Русский,"Личность, Ораторство, Общение"
"??.??.2012
29.05.2013","??.??.2012
26.05.2013",Цифр. книга,Книга,Копирайтинг,"Копирайтинг. Как не съесть собаку. Создаем тексты, которые продают",http://e-bazz.com/avtory/dmitrii-kot,,5,256 стр.,2012,"Хорошо что автор не тупо взял информацию из зарубежных источников, а вписал очень много со своего личного опыта. Получился такой себе сборник советов.",,Русский,"Маркетинг, Реклама"
25.05.2013,25.05.2013,Сайт,Курс,Веб-разработка,CSS Cross-Country,http://www.codeschool.com/,,5,?,?,,,Английский,"Вёрстка, CSS"
25.05.2013,25.05.2013,Сайт,Курс,Веб-разработка,Functional HTML5 & CSS3,http://www.codeschool.com/,,5,?,?,,,Английский,"Вёрстка, CSS, HTML"
25.05.2013,25.05.2013,Сайт,Курс,Веб-разработка,Journey Into Mobile,http://www.codeschool.com/,,5,?,?,,,Английский,"Вёрстка, Adaptive, Responsive, Mobile, HTML, CSS"
23.05.2013,23.05.2013,Цифр. книга,Книга,Веб-разработка,Сначала мобильные!,Люк Вроблевски,Mobile First,5,176 стр.,2012,"Хорошо раскрыт вопрос мобильных версий сайтов, без вдавания в технические особенности. Про отзывчивый веб-дизайн сказанно очень мало.",,Русский,"Дизайн, Mobile, Responsive, Adaptive, Проектирование"
23.05.2013,23.05.2013,Цифр. книга,Книга,Веб-разработка,"Implementing Responsive Design: Building Sites for an Anywhere, Everywhere Web","Tim Kadlec, Aaron Gustafson",,5,288 стр.,2012,"Подробная книга, в которой со всех сторон рассматривается отзывчивый веб-дизайн, начиная с азов, заканчивая серверной частью и проектированием контента. Нету воды, хорошо свёрстана, много полезной информации. Лучшая в своём классе на момент написания отзыва.",,Английский,"Вёрстка, HTML, CSS, Дизайн, Mobile, Responsive, Adaptive"
"??.??.2012
23.05.2013","??.??.2012
20.05.2013",Цифр. книга,Книга,Копирайтинг,Продающие тексты. Как превратить читателя в покупателя,С. Бернадский,,5,192 стр.,2012,"В книге собрана информация с различных зарубежных источников, хорошо структурирована и подана без воды + приправлена личным опытом и полезными советами. Советую читать целиком.",https://drive.google.com/?usp=chrome_app#folders/0B10-UcWht3mDS2VrOTB0dkk0bFk,Русский,"Маркетинг, Реклама"
20.05.2013,25.04.2013,Цифр. книга,Книга,Цигун,Чжун Юань цигун. Первая ступень восхождения,"Сюи Минтан, Тамара Мартынова",,3,352 стр.,2002,Не нашёл ответы на свои вопросы. Возможно для более знающего человека эта книга будет ценнее. Упражнения криво описаны и без нормальных илюстраций. Заниматься по ней нельзя.,,Русский,"Йога, Медитация, Саморазвитие, Здоровье"
